Num,Name,Epoch,q,e,i,w,Node,Tp,Ref
1P,Halley       ,49400,0.58597811,0.96714291,62.26269,111.33249, 58.42008,19860205.89532,JPL J863/77
2P,Encke        ,57720,0.33590577,0.84833349,11.77837,186.56104,334.56111,20170310.09194,JPL K173/2
3D,Biela        ,-9480,0.87907300,0.75129900,13.21640,221.65880,250.66900,18321126.61520,IAUCAT03
4P,Faye         ,57262,1.65187634,0.56961755, 9.07029,205.12582,199.14398,20140529.86872,JPL K144/7
5D,Brorsen      , 7440,0.58984700,0.80979600,29.38210, 14.94680,102.96760,18790331.03410,IAUCAT03
6P,d'Arrest     ,57200,1.36145455,0.61142192,19.48168,178.11523,138.93371,20150302.41870,JPL K155/3
7P,Pons-Winnecke,57380,1.23896144,0.63761701,22.33509,172.50006, 93.40960,20150130.53022,JPL K088/17
8P,Tuttle       ,54374,1.02711659,0.81979975,54.98318,207.50925,270.34165,20080127.02555,JPL K074/27
9P,Tempel 1     ,57375,1.54236947,0.50981920,10.47332,179.18727, 68.76828,20160802.55955,JPL 160
10P,Tempel 2     ,57262,1.41764523,0.53735240,12.02891,195.54767,117.80539,20151114.25866,JPL K1013/12
