# Time,Signal
1.0000,1.7520
1.0202,3.8913
1.0404,2.8261
1.0606,5.3482
1.0808,5.1531
1.1010,3.6468
1.1212,1.9609
1.1414,4.2323
1.1616,2.3760
1.1818,2.7637
1.2020,5.5450
1.2222,6.0876
1.2424,3.5889
1.2626,2.5523
1.2828,2.0684
1.3030,2.7692
1.3232,2.5698
1.3434,1.5521
1.3636,5.8574
1.3838,4.2825
1.4040,1.9533
1.4242,5.6193
1.4444,4.7984
1.4646,5.3768
1.4848,1.4685
1.5051,2.0194
1.5253,4.6603
1.5455,4.4615
1.5657,3.6215
1.5859,4.2769
1.6061,2.8010
1.6263,0.6308
1.6465,1.2143
1.6667,3.4139
1.6869,4.5707
1.7071,0.4544
1.7273,3.2712
1.7475,4.2275
1.7677,2.6330
1.7879,3.0402
1.8081,0.3635
1.8283,3.8002
1.8485,3.8950
1.8687,4.4171
1.8889,4.9869
1.9091,2.3409
1.9293,4.3128
1.9495,2.3988
1.9697,4.3176
1.9899,4.4655
2.0101,4.2813
2.0303,4.0496
2.0505,3.6774
2.0707,2.7523
2.0909,4.0755
2.1111,2.0950
2.1313,0.9815
2.1515,0.9665
2.1717,0.2765
2.1919,3.2699
2.2121,4.1163
2.2323,1.8926
2.2525,2.7302
2.2727,0.9947
2.2929,-0.4023
2.3131,2.7976
2.3333,2.9850
2.3535,-0.4176
2.3737,3.0562
2.3939,1.0851
2.4141,0.1826
2.4343,-0.0904
2.4545,0.0714
2.4747,2.9735
2.4949,1.2808
2.5152,1.2474
2.5354,2.3550
2.5556,4.1937
2.5758,3.6998
2.5960,3.4258
2.6162,4.0763
2.6364,2.0035
2.6566,1.1560
2.6768,2.6748
2.6970,1.2702
2.7172,0.6700
2.7374,3.6371
2.7576,4.2224
2.7778,3.7471
2.7980,4.2342
2.8182,3.1963
2.8384,1.0397
2.8586,1.1148
2.8788,1.0042
2.8990,3.9926
2.9192,3.1225
2.9394,0.5265
2.9596,-0.0250
2.9798,3.0398
3.0000,1.4121
3.0202,0.0870
3.0404,0.8430
3.0606,1.7581
3.0808,3.5309
3.1010,4.4391
3.1212,0.0274
3.1414,3.0806
3.1616,2.3120
3.1818,2.2482
3.2020,2.5810
3.2222,0.4475
3.2424,0.4802
3.2626,0.6670
3.2828,2.0645
3.3030,4.1301
3.3232,3.5702
3.3434,1.5018
3.3636,2.1845
3.3838,0.2413
3.4040,2.2639
3.4242,1.8158
3.4444,3.9938
3.4646,0.9449
3.4848,0.4072
3.5051,2.6562
3.5253,2.3806
3.5455,4.0295
3.5657,0.5173
3.5859,2.1088
3.6061,4.2284
3.6263,2.8632
3.6465,0.5835
3.6667,3.5662
3.6869,3.2199
3.7071,4.0575
3.7273,2.2400
3.7475,-0.0556
3.7677,1.0423
3.7879,0.3212
3.8081,1.6346
3.8283,2.2663
3.8485,4.3188
3.8687,0.7225
3.8889,4.1993
3.9091,2.9391
3.9293,4.4399
3.9495,1.0364
3.9697,0.2195
3.9899,2.9584
4.0101,2.1483
4.0303,4.2008
4.0505,1.6871
4.0707,3.6547
4.0909,4.6146
4.1111,3.7336
4.1313,-0.0772
4.1515,4.3241
4.1717,3.8386
4.1919,4.7033
4.2121,0.8939
4.2323,3.4440
4.2525,1.5984
4.2727,1.1284
4.2929,3.7754
4.3131,4.0056
4.3333,4.6378
4.3535,3.7942
4.3737,3.2789
4.3939,1.3114
4.4141,0.9348
4.4343,2.0692
4.4545,2.7605
4.4747,2.1334
4.4949,3.3761
4.5152,4.0483
4.5354,0.5146
4.5556,1.6513
4.5758,3.4223
4.5960,0.2776
4.6162,2.7653
4.6364,4.3276
4.6566,2.3784
4.6768,3.7627
4.6970,1.5127
4.7172,0.6365
4.7374,3.4394
4.7576,3.3484
4.7778,2.7441
4.7980,0.6128
4.8182,1.7084
4.8384,1.0784
4.8586,2.0787
4.8788,1.9012
4.8990,3.5153
4.9192,1.0404
4.9394,-0.9040
4.9596,1.5181
4.9798,3.4304
5.0000,1.4565
5.0202,1.7664
5.0404,2.4732
5.0606,1.5743
5.0808,-0.9690
5.1010,1.9626
5.1212,0.3452
5.1414,0.0217
5.1616,2.6350
5.1818,2.9173
5.2020,2.7471
5.2222,0.1432
5.2424,-0.6393
5.2626,1.6247
5.2828,1.5647
5.3030,2.8429
5.3232,2.1855
5.3434,3.0827
5.3636,2.5095
5.3838,1.8887
5.4040,1.0859
5.4242,-0.3364
5.4444,0.2799
5.4646,2.1758
5.4848,2.6119
5.5051,-1.1205
5.5253,3.0373
5.5455,0.2565
5.5657,3.4674
5.5859,0.6779
5.6061,2.3855
5.6263,-0.9351
5.6465,1.2299
5.6667,1.0552
5.6869,3.5961
5.7071,3.0918
5.7273,1.0766
5.7475,1.5501
5.7677,0.5575
5.7879,0.4584
5.8081,0.0158
5.8283,0.8921
5.8485,3.2135
5.8687,-0.0650
5.8889,3.7763
5.9091,0.4293
5.9293,-0.0779
5.9495,2.4604
5.9697,3.0771
5.9899,3.3701
6.0101,0.9567
6.0303,0.3007
6.0505,2.2657
6.0707,-0.0404
6.0909,-0.2679
6.1111,0.4964
6.1313,2.9865
6.1515,-0.4970
6.1717,3.5952
6.1919,-0.6051
6.2121,3.3595
6.2323,0.1073
6.2525,2.8535
6.2727,3.6595
6.2929,3.0520
6.3131,3.4535
6.3333,1.0804
6.3535,0.3878
6.3737,1.8257
6.3939,1.5354
6.4141,-0.4511
6.4343,4.1732
6.4545,0.7198
6.4747,3.5893
6.4949,3.9187
6.5152,1.5018
6.5354,0.8684
6.5556,2.8225
6.5758,3.4761
6.5960,3.4673
6.6162,-0.4072
6.6364,2.4843
6.6566,4.4808
6.6768,1.2056
6.6970,-0.2443
6.7172,0.3854
6.7374,2.7386
6.7576,1.9564
6.7778,4.4780
6.7980,3.3560
6.8182,4.6609
6.8384,3.7152
6.8586,3.9111
6.8788,1.9895
6.8990,0.7476
6.9192,2.5167
6.9394,4.1715
6.9596,3.1010
6.9798,3.3325
7.0000,3.4371
7.0202,1.3524
7.0404,2.5757
7.0606,-0.1657
7.0808,4.3112
7.1010,1.5895
7.1212,0.0452
7.1414,2.7240
7.1616,1.7145
7.1818,0.8851
7.2020,2.8765
7.2222,3.8008
7.2424,0.2007
7.2626,1.4467
7.2828,2.0808
7.3030,0.1734
