Time, Lag
1.5415883e-01,2.0463764e+01
1.5508986e-01,1.3734804e+00
1.6328073e-01,2.0903137e+01
1.6420579e-01,7.6021637e+00
1.7240071e-01,2.0275089e+01
1.7333078e-01,1.6151095e+01
1.8154287e-01,2.5430807e+01
1.9065475e-01,4.1516221e+01
1.9977283e-01,4.1820752e+01
2.0889187e-01,5.9158994e+01
2.1801376e-01,5.8598367e+01
2.2714090e-01,6.8223147e+01
2.3626375e-01,7.8696230e+01
2.4539471e-01,7.9455851e+01
2.5450778e-01,8.7583403e+01
2.6363277e-01,9.7132335e+01
2.7275085e-01,1.1043687e+02
2.8187871e-01,1.1308693e+02
2.9099274e-01,1.4824819e+02
3.0011892e-01,1.5483926e+02
3.0924392e-01,1.7338819e+02
3.1836486e-01,1.6979385e+02
3.2748771e-01,1.8426694e+02
3.3661175e-01,2.1778216e+02
3.4573388e-01,2.2822996e+02
3.5485673e-01,2.4570304e+02
3.6397791e-01,2.7011713e+02
3.7310171e-01,2.8962393e+02
3.8223171e-01,3.1434984e+02
3.9134479e-01,3.3447739e+02
4.0046692e-01,3.6392519e+02
4.0960574e-01,3.9696292e+02
4.1871977e-01,4.1912418e+02
4.2783880e-01,4.5346243e+02
